gene	accession	hmmsource
VOG0808	VOG0808	pvog
VOG0809	VOG0809	pvog
VOG0810	VOG0810	pvog
VOG0811	VOG0811	pvog
VOG0812	VOG0812	pvog
VOG0813	VOG0813	pvog
VOG0814	VOG0814	pvog
VOG0815	VOG0815	pvog
VOG0816	VOG0816	pvog
VOG0817	VOG0817	pvog
VOG0819	VOG0819	pvog
VOG0820	VOG0820	pvog
VOG0821	VOG0821	pvog
VOG0822	VOG0822	pvog
VOG0823	VOG0823	pvog
VOG0824	VOG0824	pvog
VOG0825	VOG0825	pvog
VOG0827	VOG0827	pvog
VOG0828	VOG0828	pvog
VOG0830	VOG0830	pvog
VOG0831	VOG0831	pvog
VOG0832	VOG0832	pvog
VOG0833	VOG0833	pvog
VOG0835	VOG0835	pvog
VOG0837	VOG0837	pvog
VOG0838	VOG0838	pvog
VOG0839	VOG0839	pvog
VOG0840	VOG0840	pvog
VOG0842	VOG0842	pvog
VOG0843	VOG0843	pvog
VOG0847	VOG0847	pvog
VOG0848	VOG0848	pvog
VOG0850	VOG0850	pvog
VOG0855	VOG0855	pvog
VOG0861	VOG0861	pvog
VOG0862	VOG0862	pvog
VOG0866	VOG0866	pvog
VOG0868	VOG0868	pvog
VOG0870	VOG0870	pvog
VOG0874	VOG0874	pvog
VOG0875	VOG0875	pvog
VOG0876	VOG0876	pvog
VOG0877	VOG0877	pvog
VOG0878	VOG0878	pvog
VOG0879	VOG0879	pvog
VOG0880	VOG0880	pvog
VOG0885	VOG0885	pvog
VOG0886	VOG0886	pvog
VOG0887	VOG0887	pvog
VOG0888	VOG0888	pvog
VOG0889	VOG0889	pvog
VOG0890	VOG0890	pvog
VOG0893	VOG0893	pvog
VOG0894	VOG0894	pvog
VOG0897	VOG0897	pvog
VOG0900	VOG0900	pvog
VOG0901	VOG0901	pvog
VOG0902	VOG0902	pvog
VOG0903	VOG0903	pvog
VOG0904	VOG0904	pvog
VOG0905	VOG0905	pvog
VOG0906	VOG0906	pvog
VOG0907	VOG0907	pvog
VOG0908	VOG0908	pvog
VOG0909	VOG0909	pvog
VOG0910	VOG0910	pvog
VOG0911	VOG0911	pvog
VOG0913	VOG0913	pvog
VOG0914	VOG0914	pvog
VOG0917	VOG0917	pvog
VOG0918	VOG0918	pvog
VOG0919	VOG0919	pvog
VOG0920	VOG0920	pvog
VOG0921	VOG0921	pvog
VOG0922	VOG0922	pvog
VOG0924	VOG0924	pvog
VOG0925	VOG0925	pvog
VOG0926	VOG0926	pvog
VOG0927	VOG0927	pvog
VOG0930	VOG0930	pvog
VOG0933	VOG0933	pvog
VOG0935	VOG0935	pvog
VOG0936	VOG0936	pvog
VOG0937	VOG0937	pvog
VOG0938	VOG0938	pvog
VOG0939	VOG0939	pvog
VOG0941	VOG0941	pvog
VOG0942	VOG0942	pvog
VOG0943	VOG0943	pvog
VOG0944	VOG0944	pvog
VOG0945	VOG0945	pvog
VOG0946	VOG0946	pvog
VOG0947	VOG0947	pvog
VOG0952	VOG0952	pvog
VOG0953	VOG0953	pvog
VOG0955	VOG0955	pvog
VOG0968	VOG0968	pvog
VOG0972	VOG0972	pvog
VOG0975	VOG0975	pvog
VOG0976	VOG0976	pvog
VOG0977	VOG0977	pvog
VOG0979	VOG0979	pvog
VOG0980	VOG0980	pvog
VOG0981	VOG0981	pvog
VOG0982	VOG0982	pvog
VOG0984	VOG0984	pvog
VOG0985	VOG0985	pvog
VOG0986	VOG0986	pvog
VOG0988	VOG0988	pvog
VOG0989	VOG0989	pvog
VOG0991	VOG0991	pvog
VOG0992	VOG0992	pvog
VOG0994	VOG0994	pvog
VOG0996	VOG0996	pvog
VOG0997	VOG0997	pvog
VOG0998	VOG0998	pvog
VOG0999	VOG0999	pvog
VOG10000	VOG10000	pvog
VOG10001	VOG10001	pvog
VOG10002	VOG10002	pvog
VOG10003	VOG10003	pvog
VOG10004	VOG10004	pvog
VOG10005	VOG10005	pvog
VOG10006	VOG10006	pvog
VOG10007	VOG10007	pvog
VOG10008	VOG10008	pvog
VOG10009	VOG10009	pvog
VOG10010	VOG10010	pvog
VOG10011	VOG10011	pvog
VOG10012	VOG10012	pvog
VOG10013	VOG10013	pvog
VOG10014	VOG10014	pvog
VOG10015	VOG10015	pvog
VOG10016	VOG10016	pvog
VOG10017	VOG10017	pvog
VOG10018	VOG10018	pvog
VOG10019	VOG10019	pvog
VOG1001	VOG1001	pvog
VOG10020	VOG10020	pvog
VOG10021	VOG10021	pvog
VOG10022	VOG10022	pvog
VOG10023	VOG10023	pvog
VOG10024	VOG10024	pvog
VOG10025	VOG10025	pvog
VOG10026	VOG10026	pvog
VOG10027	VOG10027	pvog
VOG10028	VOG10028	pvog
VOG10029	VOG10029	pvog
VOG10030	VOG10030	pvog
VOG10031	VOG10031	pvog
VOG10032	VOG10032	pvog
VOG10033	VOG10033	pvog
VOG10034	VOG10034	pvog
VOG10035	VOG10035	pvog
VOG10036	VOG10036	pvog
VOG10037	VOG10037	pvog
VOG10038	VOG10038	pvog
VOG10039	VOG10039	pvog
VOG10040	VOG10040	pvog
VOG10041	VOG10041	pvog
VOG10042	VOG10042	pvog
VOG10043	VOG10043	pvog
VOG10044	VOG10044	pvog
VOG10045	VOG10045	pvog
VOG10046	VOG10046	pvog
VOG10047	VOG10047	pvog
VOG10048	VOG10048	pvog
VOG10049	VOG10049	pvog
VOG1004	VOG1004	pvog
VOG10050	VOG10050	pvog
VOG10051	VOG10051	pvog
VOG10052	VOG10052	pvog
VOG10053	VOG10053	pvog
VOG10054	VOG10054	pvog
VOG10055	VOG10055	pvog
VOG10056	VOG10056	pvog
VOG10057	VOG10057	pvog
VOG10058	VOG10058	pvog
VOG10059	VOG10059	pvog
VOG1005	VOG1005	pvog
VOG10060	VOG10060	pvog
VOG10061	VOG10061	pvog
VOG10062	VOG10062	pvog
VOG10063	VOG10063	pvog
VOG10064	VOG10064	pvog
VOG10065	VOG10065	pvog
VOG10066	VOG10066	pvog
VOG10067	VOG10067	pvog
VOG10068	VOG10068	pvog
VOG10069	VOG10069	pvog
VOG1006	VOG1006	pvog
VOG10070	VOG10070	pvog
VOG10071	VOG10071	pvog
VOG10072	VOG10072	pvog
VOG10073	VOG10073	pvog
VOG10074	VOG10074	pvog
VOG10075	VOG10075	pvog
VOG10076	VOG10076	pvog
VOG10077	VOG10077	pvog
VOG10078	VOG10078	pvog
VOG10079	VOG10079	pvog
VOG10080	VOG10080	pvog
VOG10081	VOG10081	pvog
VOG10082	VOG10082	pvog
VOG10083	VOG10083	pvog
VOG10084	VOG10084	pvog
VOG10085	VOG10085	pvog
VOG10086	VOG10086	pvog
VOG10087	VOG10087	pvog
VOG10088	VOG10088	pvog
VOG10089	VOG10089	pvog
VOG10090	VOG10090	pvog
VOG10091	VOG10091	pvog
VOG10092	VOG10092	pvog
VOG10093	VOG10093	pvog
VOG10094	VOG10094	pvog
VOG10095	VOG10095	pvog
VOG10096	VOG10096	pvog
VOG10097	VOG10097	pvog
VOG10098	VOG10098	pvog
VOG10099	VOG10099	pvog
VOG10100	VOG10100	pvog
VOG10101	VOG10101	pvog
VOG10102	VOG10102	pvog
VOG10103	VOG10103	pvog
VOG10104	VOG10104	pvog
VOG10105	VOG10105	pvog
VOG10106	VOG10106	pvog
VOG10107	VOG10107	pvog
VOG10108	VOG10108	pvog
VOG10109	VOG10109	pvog
VOG10110	VOG10110	pvog
VOG10111	VOG10111	pvog
VOG10112	VOG10112	pvog
VOG10113	VOG10113	pvog
VOG10114	VOG10114	pvog
VOG10115	VOG10115	pvog
VOG10116	VOG10116	pvog
VOG10117	VOG10117	pvog
VOG10118	VOG10118	pvog
VOG10119	VOG10119	pvog
VOG10120	VOG10120	pvog
VOG10121	VOG10121	pvog
VOG10122	VOG10122	pvog
VOG10123	VOG10123	pvog
VOG10124	VOG10124	pvog
VOG10125	VOG10125	pvog
VOG10126	VOG10126	pvog
VOG10127	VOG10127	pvog
VOG10128	VOG10128	pvog
VOG10129	VOG10129	pvog
VOG1012	VOG1012	pvog
VOG10130	VOG10130	pvog
VOG10131	VOG10131	pvog
VOG10132	VOG10132	pvog
VOG10133	VOG10133	pvog
VOG10134	VOG10134	pvog
VOG10135	VOG10135	pvog
VOG10136	VOG10136	pvog
VOG10137	VOG10137	pvog
VOG10138	VOG10138	pvog
VOG10139	VOG10139	pvog
VOG1013	VOG1013	pvog
VOG10140	VOG10140	pvog
VOG10141	VOG10141	pvog
VOG10142	VOG10142	pvog
VOG10143	VOG10143	pvog
VOG10144	VOG10144	pvog
VOG10145	VOG10145	pvog
VOG10146	VOG10146	pvog
VOG10147	VOG10147	pvog
VOG10148	VOG10148	pvog
VOG10149	VOG10149	pvog
VOG1014	VOG1014	pvog
VOG10150	VOG10150	pvog
VOG10151	VOG10151	pvog
VOG10152	VOG10152	pvog
VOG10153	VOG10153	pvog
VOG10154	VOG10154	pvog
VOG10155	VOG10155	pvog
VOG10156	VOG10156	pvog
VOG10157	VOG10157	pvog
VOG10158	VOG10158	pvog
VOG10159	VOG10159	pvog
VOG10160	VOG10160	pvog
VOG10161	VOG10161	pvog
VOG10162	VOG10162	pvog
VOG10163	VOG10163	pvog
VOG10164	VOG10164	pvog
VOG10165	VOG10165	pvog
VOG10166	VOG10166	pvog
VOG10167	VOG10167	pvog
VOG10168	VOG10168	pvog
VOG10169	VOG10169	pvog
VOG10170	VOG10170	pvog
VOG10171	VOG10171	pvog
VOG10172	VOG10172	pvog
VOG10173	VOG10173	pvog
VOG10174	VOG10174	pvog
VOG10175	VOG10175	pvog
VOG10176	VOG10176	pvog
VOG10177	VOG10177	pvog
VOG10178	VOG10178	pvog
VOG10179	VOG10179	pvog
VOG1017	VOG1017	pvog
VOG10180	VOG10180	pvog
VOG10181	VOG10181	pvog
VOG10182	VOG10182	pvog
VOG10183	VOG10183	pvog
VOG10184	VOG10184	pvog
VOG10185	VOG10185	pvog
VOG10186	VOG10186	pvog
VOG10187	VOG10187	pvog
VOG10188	VOG10188	pvog
VOG10189	VOG10189	pvog
VOG10190	VOG10190	pvog
VOG10191	VOG10191	pvog
VOG10192	VOG10192	pvog
VOG10193	VOG10193	pvog
VOG10194	VOG10194	pvog
VOG10195	VOG10195	pvog
VOG10196	VOG10196	pvog
VOG10197	VOG10197	pvog
VOG10198	VOG10198	pvog
VOG10199	VOG10199	pvog
VOG1019	VOG1019	pvog
VOG10200	VOG10200	pvog
VOG10201	VOG10201	pvog
VOG10202	VOG10202	pvog
VOG10203	VOG10203	pvog
VOG10204	VOG10204	pvog
VOG10205	VOG10205	pvog
VOG10206	VOG10206	pvog
VOG10207	VOG10207	pvog
VOG10208	VOG10208	pvog
VOG10209	VOG10209	pvog
VOG1020	VOG1020	pvog
VOG10210	VOG10210	pvog
VOG10211	VOG10211	pvog
VOG10212	VOG10212	pvog
VOG10213	VOG10213	pvog
VOG10214	VOG10214	pvog
VOG10215	VOG10215	pvog
VOG10216	VOG10216	pvog
VOG10217	VOG10217	pvog
VOG10218	VOG10218	pvog
VOG10219	VOG10219	pvog
VOG1021	VOG1021	pvog
VOG10220	VOG10220	pvog
VOG10221	VOG10221	pvog
VOG10222	VOG10222	pvog
VOG10223	VOG10223	pvog
VOG10224	VOG10224	pvog
